Country,Year,Trust_Score,Unemployment_Rate
Austria,2010,41.0045136965,5.2
Austria,2011,40.0197739028,4.9
Austria,2012,40.0197739028,5.2
Austria,2013,40.0197739028,5.7
Austria,2014,43.1707828544,6
Austria,2015,43.1707828544,6.1
Austria,2016,43.1707828544,6.5
Austria,2017,47.8974975266,5.9
Austria,2018,47.8974975266,5.2
Austria,2019,47.8974975266,4.8
Austria,2020,56.6092493997,6
Austria,2021,56.6092493997,6.2
Austria,2022,56.6092493997,4.8
Austria,2023,46.5405292887,5.1
Belgium,2010,39.982677673,8.4
Belgium,2011,42.7790384969,7.2
Belgium,2012,42.7790384969,7.6
Belgium,2013,42.7790384969,8.6
Belgium,2014,44.9104442383,8.7
Belgium,2015,44.9104442383,8.7
Belgium,2016,44.9104442383,7.9
Belgium,2017,40.6525865336,7.2
Belgium,2018,40.6525865336,6
Belgium,2019,40.6525865336,5.5
Belgium,2020,44.6780375083,5.8
Belgium,2021,44.6780375083,6.3
Belgium,2022,44.6780375083,5.6
Belgium,2023,49.5326749585,5.5
Bulgaria,2010,36.5285956548,11.3
Bulgaria,2011,25.9686622164,12.3
Bulgaria,2012,25.9686622164,13.3
Bulgaria,2013,25.9686622164,13.9
Bulgaria,2014,20.3773939646,12.4
Bulgaria,2015,20.3773939646,10.1
Bulgaria,2016,20.3773939646,8.6
Bulgaria,2017,27.1155226156,7.2
Bulgaria,2018,27.1155226156,6.2
Bulgaria,2019,27.1155226156,5.2
Bulgaria,2020,23.0234188167,6.1
Bulgaria,2021,23.0234188167,5.2
Bulgaria,2022,23.0234188167,4.2
Bulgaria,2023,13.4101257353,4.3
Croatia,2011,28.412957817,13.6
Croatia,2012,28.412957817,16.1
Croatia,2013,28.412957817,17.3
Croatia,2014,27.4422618327,17.3
Croatia,2015,27.4422618327,16.2
Croatia,2016,27.4422618327,13
Croatia,2017,24.8561003787,11.1
Croatia,2018,24.8561003787,8.3
Croatia,2019,24.8561003787,6.6
Croatia,2020,25.5156474855,7.4
Croatia,2021,25.5156474855,7.5
Croatia,2022,25.5156474855,6.8
Croatia,2023,49.6191620747,6.1
Czechia,2010,33.330985653,7.3
Czechia,2011,20.6213549246,6.7
Czechia,2012,20.6213549246,7
Czechia,2013,20.6213549246,7
Czechia,2014,39.6759798879,6.1
Czechia,2015,39.6759798879,5.1
Czechia,2016,39.6759798879,4
Czechia,2017,38.2327056898,2.9
Czechia,2018,38.2327056898,2.2
Czechia,2019,38.2327056898,2
Czechia,2020,31.4720389355,2.6
Czechia,2021,31.4720389355,2.8
Czechia,2022,31.4720389355,2.2
Czechia,2023,36.59455016,2.6
Denmark,2010,62.6400491161,7.7
Denmark,2011,46.5827075118,7.8
Denmark,2012,46.5827075118,7.8
Denmark,2013,46.5827075118,7.4
Denmark,2014,50.1795418978,6.9
Denmark,2015,50.1795418978,6.3
Denmark,2016,50.1795418978,6
Denmark,2017,61.2610268808,5.8
Denmark,2018,61.2610268808,5.1
Denmark,2019,61.2610268808,5
Denmark,2020,66.7622410406,5.6
Denmark,2021,66.7622410406,5.1
Denmark,2022,66.7622410406,4.5
Denmark,2023,55.5886790832,5.1
Estonia,2010,27.7732567464,16.6
Estonia,2011,31.7051240994,12.3
Estonia,2012,31.7051240994,9.9
Estonia,2013,31.7051240994,8.6
Estonia,2014,36.3836655752,7.3
Estonia,2015,36.3836655752,6.4
Estonia,2016,36.3836655752,6.8
Estonia,2017,40.981845354,5.8
Estonia,2018,40.981845354,5.4
Estonia,2019,40.981845354,4.5
Estonia,2020,49.7521942797,6.9
Estonia,2021,49.7521942797,6.2
Estonia,2022,49.7521942797,5.6
Estonia,2023,40.8882400333,6.4
Finland,2010,59.2543537364,8.6
Finland,2011,52.7979240786,8
Finland,2012,52.7979240786,7.9
Finland,2013,52.7979240786,8.3
Finland,2014,50.396213542,8.7
Finland,2015,50.396213542,9.4
Finland,2016,50.396213542,8.9
Finland,2017,59.7276314339,8.7
Finland,2018,59.7276314339,7.5
Finland,2019,59.7276314339,6.8
Finland,2020,76.5938015122,7.7
Finland,2021,76.5938015122,7.7
Finland,2022,76.5938015122,6.8
Finland,2023,69.2673486377,7.2
France,2010,44.285816878,9.3
France,2011,40.3615037206,9.2
France,2012,40.3615037206,9.8
France,2013,40.3615037206,10.3
France,2014,29.2010859272,10.3
France,2015,29.2010859272,10.3
France,2016,29.2010859272,10.1
France,2017,37.9063398077,9.4
France,2018,37.9063398077,9
France,2019,37.9063398077,8.4
France,2020,43.3761281481,8
France,2021,43.3761281481,7.9
France,2022,43.3761281481,7.3
France,2023,37.3337530749,7.3
Germany,2010,45.3515632997,6.6
Germany,2011,49.9757336315,5.5
Germany,2012,49.9757336315,5.1
Germany,2013,49.9757336315,4.9
Germany,2014,59.3995357955,4.7
Germany,2015,59.3995357955,4.4
Germany,2016,59.3995357955,3.9
Germany,2017,59.4795555472,3.5
Germany,2018,59.4795555472,3.2
Germany,2019,59.4795555472,2.9
Germany,2020,62.2142271516,3.6
Germany,2021,62.2142271516,3.6
Germany,2022,62.2142271516,3.1
Germany,2023,51.3891385598,3.1
Greece,2010,27.6354590111,12.9
Greece,2011,14.8326262467,18.1
Greece,2012,14.8326262467,24.8
Greece,2013,14.8326262467,27.8
Greece,2014,25.2699409798,26.6
Greece,2015,25.2699409798,25
Greece,2016,25.2699409798,23.9
Greece,2017,23.1118058534,21.8
Greece,2018,23.1118058534,19.7
Greece,2019,23.1118058534,17.9
Greece,2020,35.1824099887,17.6
Greece,2021,35.1824099887,14.7
Greece,2022,35.1824099887,12.5
Greece,2023,27.3159736423,11.1
Hungary,2010,22.5754952007,10.8
Hungary,2011,29.9156127648,10.7
Hungary,2012,29.9156127648,10.7
Hungary,2013,29.9156127648,9.8
Hungary,2014,29.7123131838,7.5
Hungary,2015,29.7123131838,6.6
Hungary,2016,29.7123131838,5
Hungary,2017,41.6582907931,4
Hungary,2018,41.6582907931,3.6
Hungary,2019,41.6582907931,3.3
Hungary,2020,42.9070371637,4.1
Hungary,2021,42.9070371637,4
Hungary,2022,42.9070371637,3.6
Hungary,2023,33.9104508739,4.1
Ireland,2010,37.9625521092,14.6
Ireland,2011,38.6664132694,15.4
Ireland,2012,38.6664132694,15.5
Ireland,2013,38.6664132694,13.8
Ireland,2014,53.5487742962,11.9
Ireland,2015,53.5487742962,9.9
Ireland,2016,53.5487742962,8.4
Ireland,2017,60.1140303955,6.7
Ireland,2018,60.1140303955,5.8
Ireland,2019,60.1140303955,5
Ireland,2020,62.1257846517,5.9
Ireland,2021,62.1257846517,6.2
Ireland,2022,62.1257846517,4.5
Ireland,2023,58.5290306276,4.3
Italy,2010,36.5518221564,8.5
Italy,2011,22.8742144286,8.5
Italy,2012,22.8742144286,10.9
Italy,2013,22.8742144286,12.4
Italy,2014,26.908690219,12.9
Italy,2015,26.908690219,12
Italy,2016,26.908690219,11.7
Italy,2017,21.9582782591,11.3
Italy,2018,21.9582782591,10.6
Italy,2019,21.9582782591,9.9
Italy,2020,38.0707741589,9.3
Italy,2021,38.0707741589,9.5
Italy,2022,38.0707741589,8.1
Italy,2023,36.550111076,7.7
Latvia,2010,14.5351039198,19.7
Latvia,2011,17.7418938277,16.3
Latvia,2012,17.7418938277,15.1
Latvia,2013,17.7418938277,11.9
Latvia,2014,28.1072707381,10.9
Latvia,2015,28.1072707381,9.9
Latvia,2016,28.1072707381,9.7
Latvia,2017,23.3523488458,8.7
Latvia,2018,23.3523488458,7.4
Latvia,2019,23.3523488458,6.3
Latvia,2020,30.1338630499,8.1
Latvia,2021,30.1338630499,7.6
Latvia,2022,30.1338630499,6.9
Latvia,2023,30.9557031612,6.5
Lithuania,2010,13.3917113597,17.8
Lithuania,2011,23.7018130525,15.4
Lithuania,2012,23.7018130525,13.4
Lithuania,2013,23.7018130525,11.8
Lithuania,2014,33.0443422659,10.7
Lithuania,2015,33.0443422659,9.1
Lithuania,2016,33.0443422659,7.9
Lithuania,2017,35.0751275424,7.1
Lithuania,2018,35.0751275424,6.2
Lithuania,2019,35.0751275424,6.3
Lithuania,2020,35.0940370763,8.5
Lithuania,2021,35.0940370763,7.1
Lithuania,2022,35.0940370763,6
Lithuania,2023,40.0380145143,6.9
Luxembourg,2010,79.6231702248,4.4
Luxembourg,2011,75.0349145379,4.9
Luxembourg,2012,75.0349145379,5.1
Luxembourg,2013,75.0349145379,5.9
Luxembourg,2014,67.879817226,5.9
Luxembourg,2015,67.879817226,6.7
Luxembourg,2016,67.879817226,6.3
Luxembourg,2017,75.8097972877,5.5
Luxembourg,2018,75.8097972877,5.6
Luxembourg,2019,75.8097972877,5.6
Luxembourg,2020,79.138591848,6.8
Luxembourg,2021,79.138591848,5.3
Luxembourg,2022,79.138591848,4.6
Luxembourg,2023,80.6664440767,5.2
Netherlands,2010,62.680757959,6.1
Netherlands,2011,57.3622537574,6
Netherlands,2012,57.3622537574,6.8
Netherlands,2013,57.3622537574,8.2
Netherlands,2014,55.9045551918,8.4
Netherlands,2015,55.9045551918,7.9
Netherlands,2016,55.9045551918,7
Netherlands,2017,64.7555638983,5.9
Netherlands,2018,64.7555638983,4.9
Netherlands,2019,64.7555638983,4.4
Netherlands,2020,61.2610817649,4.9
Netherlands,2021,61.2610817649,4.2
Netherlands,2022,61.2610817649,3.5
Netherlands,2023,49.2738929071,3.6
Poland,2010,31.7371209137,10
Poland,2011,23.4864353193,10
Poland,2012,23.4864353193,10.4
Poland,2013,23.4864353193,10.6
Poland,2014,28.2221317792,9.2
Poland,2015,28.2221317792,7.7
Poland,2016,28.2221317792,6.3
Poland,2017,47.5994727586,5
Poland,2018,47.5994727586,3.9
Poland,2019,47.5994727586,3.3
Poland,2020,29.1325137848,3.2
Poland,2021,29.1325137848,3.4
Poland,2022,29.1325137848,2.9
Poland,2023,46.021570016,2.8
Portugal,2010,28.8830937086,12.6
Portugal,2011,20.6605001595,13.5
Portugal,2012,20.6605001595,16.6
Portugal,2013,20.6605001595,17.2
Portugal,2014,26.6559690557,14.6
Portugal,2015,26.6559690557,13
Portugal,2016,26.6559690557,11.5
Portugal,2017,48.5774606079,9.2
Portugal,2018,48.5774606079,7.2
Portugal,2019,48.5774606079,6.6
Portugal,2020,59.3366031283,7.1
Portugal,2021,59.3366031283,6.7
Portugal,2022,59.3366031283,6.2
Portugal,2023,44.3282411574,6.5
Romania,2010,16.2908712942,9
Romania,2011,19.8136829711,9.1
Romania,2012,19.8136829711,8.7
Romania,2013,19.8136829711,9
Romania,2014,22.3580961782,8.6
Romania,2015,22.3580961782,8.4
Romania,2016,22.3580961782,7.2
Romania,2017,22.8260336482,6.1
Romania,2018,22.8260336482,5.3
Romania,2019,22.8260336482,4.9
Romania,2020,20.7314664566,6.1
Romania,2021,20.7314664566,5.6
Romania,2022,20.7314664566,5.6
Romania,2023,24.1557132597,5.6
Slovakia,2010,30.8679532486,14.3
Slovakia,2011,31.0199099653,13.5
Slovakia,2012,31.0199099653,13.9
Slovakia,2013,31.0199099653,14.1
Slovakia,2014,31.9644766561,13.1
Slovakia,2015,31.9644766561,11.5
Slovakia,2016,31.9644766561,9.6
Slovakia,2017,30.0103843918,8.1
Slovakia,2018,30.0103843918,6.5
Slovakia,2019,30.0103843918,5.7
Slovakia,2020,24.1303070036,6.7
Slovakia,2021,24.1303070036,6.8
Slovakia,2022,24.1303070036,6.1
Slovakia,2023,32.085487485,5.8
Slovenia,2010,34.9973626874,7.3
Slovenia,2011,19.4360739784,8.2
Slovenia,2012,19.4360739784,8.9
Slovenia,2013,19.4360739784,10.1
Slovenia,2014,20.9766974805,9.7
Slovenia,2015,20.9766974805,9
Slovenia,2016,20.9766974805,8
Slovenia,2017,29.2068358166,6.6
Slovenia,2018,29.2068358166,5.1
Slovenia,2019,29.2068358166,4.4
Slovenia,2020,41.4311182952,5
Slovenia,2021,41.4311182952,4.8
Slovenia,2022,41.4311182952,4
Slovenia,2023,38.5504753477,3.7
Spain,2010,43.5618024339,19.9
Spain,2011,27.7452974683,21.4
Spain,2012,27.7452974683,24.8
Spain,2013,27.7452974683,26.1
Spain,2014,26.3629270434,24.5
Spain,2015,26.3629270434,22.1
Spain,2016,26.3629270434,19.6
Spain,2017,30.7522483349,17.2
Spain,2018,30.7522483349,15.3
Spain,2019,30.7522483349,14.1
Spain,2020,37.0192025714,15.5
Spain,2021,37.0192025714,14.9
Spain,2022,37.0192025714,13
Spain,2023,38.5443468083,12.2
Sweden,2010,57.020543903,8.7
Sweden,2011,61.5019936452,7.9
Sweden,2012,61.5019936452,8.1
Sweden,2013,61.5019936452,8.1
Sweden,2014,51.6121804989,8
Sweden,2015,51.6121804989,7.5
Sweden,2016,51.6121804989,7.1
Sweden,2017,52.2379990407,6.8
Sweden,2018,52.2379990407,6.5
Sweden,2019,52.2379990407,6.9
Sweden,2020,66.4159254584,8.5
Sweden,2021,66.4159254584,8.9
Sweden,2022,66.4159254584,7.5
Sweden,2023,51.1571834642,7.7
